stop_id,stop_name,stop_lat,stop_lon,stop_address,municipality,accessible
place-lech,Lechmere,42.370772,-71.076536,"Cambridge St and O'Brien Hwy, Cambridge, MA 02141",Cambridge,yes
place-lngmd,Longwood Medical Area,42.33596,-71.100052,"Huntington Ave and Longwood Ave, Boston, MA 02115",Boston,yes
place-longw,Longwood,42.341702,-71.109956,"30 Chapel St, Brookline, MA 02446",Brookline,yes
place-masta,Massachusetts Avenue,42.341512,-71.083423,"393 Massachusetts Ave, Boston, MA 02118",Boston,yes
place-matt,Mattapan,42.26762,-71.092486,"500 River St, Boston, MA 02126",Boston,yes
place-mfa,Museum of Fine Arts,42.337711,-71.095512,"Huntington Ave and Ruggles St, Boston, MA",Boston,yes
place-miltt,Milton,42.270349,-71.067266,"1 Adams St, Milton, MA 02186",Milton,yes
place-mispk,Mission Park,42.333195,-71.109756,"Huntington Ave and Mission Park Dr, Boston, MA 02115",Boston,no
place-mlmnl,Malden Center,42.426632,-71.07411,"Commercial St and Pleasant St, Malden, MA 02148",Malden,yes
place-mvbcl,Maverick,42.369119,-71.03953,"Sumner St and Maverick Sq, East Boston, MA",Boston,yes
place-newtn,Newton Highlands,42.322381,-71.205509,"60 Station Avenue, Newton, MA 02461",Newton,yes
place-newto,Newton Centre,42.329443,-71.192414,"72 Union Street, Newton, MA 02459",Newton,yes
place-north,North Station,42.365577,-71.06129,"135 Causeway St, Boston MA 02114",Boston,yes
place-nqncy,North Quincy,42.275275,-71.029583,"Hancock St and Hunt St, Quincy, MA 02171",Quincy,yes
place-nubn,Nubian,42.329544,-71.083982,"Washington St and Dudley St, Roxbury, MA",Boston,yes
place-nuniv,Northeastern University,42.340401,-71.088806,"Huntington Ave and Opera Pl, Boston, MA 02115",Boston,yes
place-ogmnl,Oak Grove,42.43668,-71.071097,"Washington St at Winter St, Malden, MA 02148",Malden,yes
place-orhte,Orient Heights,42.386867,-71.004736,"1000 Bennington St, East Boston, MA 02128",Boston,yes
place-pktrm,Park Street,42.356395,-71.062424,"Tremont St and Winter St, Boston, MA 02108",Boston,yes
place-portr,Porter,42.3884,-71.119149,"1899 Massachusetts Ave, Cambridge, MA 02140",Cambridge,yes
place-prmnl,Prudential,42.34557,-71.081696,"Huntington Ave and Belvidere St, Boston, MA 02199",Boston,yes
place-qamnl,Quincy Adams,42.233391,-71.007153,"Burgin Pkwy and Centre St, Quincy, MA 02169",Quincy,yes
place-qnctr,Quincy Center,42.251809,-71.005409,"175 Thomas E Burgin Pkwy, Quincy, MA 02169",Quincy,yes
place-rbmnl,Revere Beach,42.407843,-70.992533,"220 Shirley Ave, Revere, MA",Revere,yes
place-rcmnl,Roxbury Crossing,42.331397,-71.095451,"1400 Tremont St, Roxbury, MA",Boston,yes
place-river,Riverside,42.337352,-71.252685,"367 Grove St, Newton, MA 02466",Newton,yes
place-rsmnl,Reservoir,42.335088,-71.148758,"401 Chestnut Hill Ave, Brookline, MA 02445",Brookline,yes
place-rugg,Ruggles,42.336377,-71.088961,"1150 Tremont St, Roxbury, MA 02120",Boston,yes
place-rvrwy,Riverway,42.331684,-71.111931,"S Huntington Ave at Huntington Ave, Boston",Boston,no
place-sbmnl,Stony Brook,42.317062,-71.104248,"100 Boylston St, Jamaica Plain, MA",Boston,yes
place-sdmnl,Suffolk Downs,42.390501,-70.997123,"1230 Bennington St, East Boston, MA 02128",Boston,yes
place-shmnl,Savin Hill,42.31129,-71.053331,"125 Savin Hill Ave, Dorchester, MA 02124",Boston,yes
place-smary,Saint Mary's Street,42.345974,-71.107353,"Beacon St and Saint Mary's St, Boston, MA",Brookline,yes
place-smmnl,Shawmut,42.293126,-71.065738,"Dayton St and Clementine Park, Dorchester, MA 02124",Boston,yes
place-sougr,South Street,42.3396,-71.157661,,Boston,no
place-spmnl,Science Park/West End,42.366664,-71.067666,"Leverett Circle and Nashua St, Boston, MA 02114",Boston,yes
place-sstat,South Station,42.352271,-71.055242,"700 Atlantic Ave, Boston, MA 02110",Boston,yes
place-state,State,42.358978,-71.057598,"200 Washington St, Boston, MA",Boston,yes
place-sthld,Sutherland Road,42.341614,-71.146202,"Commonwealth Ave and Sutherland Rd, Boston, MA",Boston,no
place-stpul,Saint Paul Street,42.343327,-71.116997,"Beacon St and Saint Paul St, Brookline, MA 02446",Brookline,no
place-sull,Sullivan Square,42.383975,-71.076994,"Maffa Way and Cambridge St, Charlestown, MA 02129",Boston,yes
place-sumav,Summit Avenue,42.34111,-71.12561,"Beacon St and Summit Ave, Brookline, MA",Brookline,no
place-symcl,Symphony,42.342687,-71.085056,"Massachusetts Ave and Huntington Ave, Boston, MA",Boston,no
place-tapst,Tappan Street,42.338459,-71.138702,"Beacon St and Tappan St, Brookline, MA",Brookline,no
place-tumnl,Tufts Medical Center,42.349662,-71.063917,"750 Washington St, Boston, MA",Boston,yes
place-valrd,Valley Road,42.268347,-71.081343,"291 Valley Rd, Milton, MA 02186",Milton,no
place-waban,Waban,42.325845,-71.230609,"Beacon St and Waban Sq, Newton, MA 02468",Newton,no
place-wascm,Washington Street,42.343864,-71.142853,"Commonwealth Ave and Washington St, Boston, MA",Boston,yes
place-welln,Wellington,42.40237,-71.077082,"Revere Beach Pkwy and Rivers Edge Dr, Medford, MA 02155",Medford,yes
place-wimnl,Wood Island,42.37964,-71.022865,"450 Bennington St, East Boston, MA",Boston,yes
place-wlsta,Wollaston,42.266514,-71.020337,"90 Woodbine St, Quincy, MA 02171",Quincy,yes
place-wondl,Wonderland,42.41342,-70.991648,"1300 North Shore Rd, Revere, MA 02151",Revere,yes
place-woodl,Woodland,42.332902,-71.243362,"1940 Washington St, Newton, MA 02466",Newton,yes
place-wrnst,Warren Street,42.348343,-71.140457,"Commonwealth Ave and Warren St, Boston, MA",Boston,no
